"Id комментария","Дата добавления","Текст комментария",Комментатор,Email,Товар,Активен
68,"1 марта 2017 г.","Удобные, ноские, супер!",Василий,test@test.com,http://shop.com/krossovki-reebok,1
66,"5 февр. 2017 г.","Хорошая рубашка",Тимофей,t@t.com,http://shop.com/brushed-twill-field-shirt,1
65,"16 янв. 2017 г.","Рубашка просто отличная, нет слов",Алла,new@new.com,http://shop.com/horizon-heather-gray,1
64,"13 янв. 2017 г.",Брюки,Аркадий,ark@gmail.com,http://shop.com/bryuki-orin-12,1
63,"11 янв. 2017 г.","Согласен с Аркадием",Тимофей,t@t.com,http://shop.com/krossovki-ergonauts,1
62,"11 янв. 2017 г.",Превосходно,Аркадий,ark@gmail.com,http://shop.com/krossovki-ergonauts,1
59,"10 янв. 2017 г.","Хорошие ботинки",Тимофей,t@t.com,http://shop.com/octavius-shoe,1
55,"8 янв. 2017 г.",Чудесно,Тимофей,t@t.com,http://shop.com/bryuki-orin-12,1
53,"8 янв. 2017 г.","Поддержу предыдущий комментарий",Аркадий,ark@gmail.com,http://shop.com/octavius-shoe,1
29,"6 янв. 2017 г.","Брала на подарок, упаковали отлично",Алла,alla@miss.net,http://shop.com/rubashka-premium-ampersand-henley,1
28,"5 янв. 2017 г.","Пиджак что надо",Тимофей,t@t.com,http://shop.com/pidzhak-orin-15,1
27,"5 янв. 2017 г.","Удобные и практичные для ежедневной носки",Аркадий,ark@gmail.com,http://shop.com/rag-amp-bone,1
26,"5 янв. 2017 г.","Да, ботинки отличные, поддержу!",Тимофей,t@t.com,http://shop.com/octavius-shoe,1
