"Номер заказа","Id клиента","Имя клиента","Фамилия клиента",Email,Телефон,Адрес,Город,Страна,"Почтовый код","Id товара",Количество,Цена,"Общая стоимость",Цвет,Размер,Доставка,Оплата,Принят,"Дата заказа",Выполняется,Отменен,Доставлен
17,1,Тимофей,Салмин,admin@admin.com,"089 569-78-11","ул. Какая-то, 34. оф. 2",Первый,США,0111,46,1,"245,00 EUR","245,00 EUR",black,50,"Доставка по указанному адресу в течение 23-х дней","Оплата наличными при получении товара",1,"5 февр. 2017 г.",1,0,0
18,1,Тимофей,Салмин,admin@admin.com,"089 569-78-11","ул. Какая-то, 34. оф. 2",Какой-то,Какая-то,0111,21,2,"203,12 EUR","406,24 EUR",black,45,"Доставка по указанному адресу в течение 23-х дней","Оплата наличными при получении товара",1,"5 февр. 2017 г.",0,1,0
19,3,Виктор,Павлов,test@test.com,"044 987-09-12","ул. Просторная, оф. 23",Цюрих,Швейцария,98756,14,1,"562,00 EUR","562,00 EUR",black,50,"Доставка по указанному адресу на следующий день после покупки!
","Оплата картами Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"25 февр. 2017 г.",0,1,0
20,1,Мария,Мудрая,admin@admin.com,897-89-77,"ул. М. Кривого, 45б, д.9б, кв. 90",Харьков,Украина,0100,11,1,"567,00 EUR","567,00 EUR",black,42.5,"Доставка по указанному адресу в течение 23-х дней","Оплата наличными при получении товара",1,"6 марта 2017 г.",1,0,0
21,1,Анна,Могила,admin@admin.com,"(+987) 598-78-12","ул. М. Кривого, 45б, д.9б, кв. 90",Харьков,Украина,0100,43,1,"28,00 EUR","28,00 EUR",white,45,"Доставка по указанному адресу на следующий день после покупки!
","Оплата картами Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"6 марта 2017 г.",0,0,0
22,1,Евгений,Кривой,admin@admin.com,897-89-77,"ул. М. Кривого, 45б, д.9б, кв. 90",Харьков,Украина,0100,11,1,"567,00 EUR","567,00 EUR",white,42.5,"Доставка по указанному адресу в течение 23-х дней","Оплата наличными при получении товара",1,"10 марта 2017 г.",0,1,0
23,0,Некто,Некто,test@test2.com,+897-899-89-77,"ул. Просторная, оф. 23",Цюрих,Швейцария,02145,12,1,"1398,00 EUR","1398,00 EUR",black,35,"Доставка по указанному адресу в течение 23-х дней","Оплата наличными при получении товара",1,"13 марта 2017 г.",0,0,0
24,10,Некто,Некто,test@test2.com,"044 987-09-12","ул. Просторная, оф. 23",Цюрих,Швейцария,3659877,46,1,"186,54 EUR","186,54 EUR",black,45,"Доставка по указанному адресу на следующий день после покупки!
","Оплата картами Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"13 марта 2017 г.",0,0,0
25,10,Некто,Некто,test@test2.com,"044 987-09-12","ул. Просторная, оф. 23",Цюрих,Швейцария,3659877,51,1,"159,00 EUR","159,00 EUR",brown,42.5,"Доставка по указанному адресу на следующий день после покупки!
","Оплата картами Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"13 марта 2017 г.",0,0,0
26,10,Некто,Некто,test@test2.com,"044 987-09-12","ул. Просторная, оф. 23",Нью-Йорк,Швейцария,3659877,26,1,"195,00 EUR","195,00 EUR",black,35,"Доставка по указанному адресу на следующий день после покупки!
","Оплата картами Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"13 марта 2017 г.",0,0,0
27,10,Некто,Некто,test@test2.com,"044 987-09-12","ул. Просторная, оф. 23",Нью-Йорк,Швейцария,09100,9,1,"895,00 EUR","895,00 EUR",black,35,"Доставка по указанному адресу на следующий день после покупки!
","Оплата картами Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"13 марта 2017 г.",0,0,0
28,1,Евгений,Кривой,admin@admin.com,897-89-77,"ул. М. Кривого, 45б, д.9б, кв. 90",Харьков,Украина,0100,9,1,"895,00 EUR","895,00 EUR",black,35,"Доставка по указанному адресу в течение 23-х дней","Оплата наличными при получении товара",1,"13 марта 2017 г.",0,1,0
